# Renewables.ninja Wind (Point API) - 58.399, 25.899 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/Tallinn, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "Europe/Tallinn", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": true, "header": true, "lat": "58.39859963978884", "lon": "25.899031744565107", "date_from": "2017-01-01", "date_to": "2017-12-31", "dataset": "merra2", "capacity": "2.5", "height": "80", "turbine": "Vestas V90 2000", "raw": true}}
time,local_time,electricity,wind_speed
2017-01-01 00:00,2017-01-01 02:00,1.140,7.847
2017-01-01 01:00,2017-01-01 03:00,1.104,7.745
2017-01-01 02:00,2017-01-01 04:00,1.063,7.628
2017-01-01 03:00,2017-01-01 05:00,1.018,7.499
2017-01-01 04:00,2017-01-01 06:00,0.951,7.302
2017-01-01 05:00,2017-01-01 07:00,0.916,7.187
2017-01-01 06:00,2017-01-01 08:00,0.888,7.107
2017-01-01 07:00,2017-01-01 09:00,0.829,6.922
2017-01-01 08:00,2017-01-01 10:00,0.784,6.788
2017-01-01 09:00,2017-01-01 11:00,0.800,6.829
2017-01-01 10:00,2017-01-01 12:00,0.800,6.830
2017-01-01 11:00,2017-01-01 13:00,0.775,6.751
2017-01-01 12:00,2017-01-01 14:00,0.706,6.535
2017-01-01 13:00,2017-01-01 15:00,0.608,6.199
2017-01-01 14:00,2017-01-01 16:00,0.515,5.859
2017-01-01 15:00,2017-01-01 17:00,0.484,5.739
2017-01-01 16:00,2017-01-01 18:00,0.479,5.715
2017-01-01 17:00,2017-01-01 19:00,0.421,5.482
2017-01-01 18:00,2017-01-01 20:00,0.386,5.317
2017-01-01 19:00,2017-01-01 21:00,0.404,5.408
2017-01-01 20:00,2017-01-01 22:00,0.412,5.442
2017-01-01 21:00,2017-01-01 23:00,0.385,5.315
2017-01-01 22:00,2017-01-02 00:00,0.349,5.159
2017-01-01 23:00,2017-01-02 01:00,0.338,5.108
2017-01-02 00:00,2017-01-02 02:00,0.324,5.029
2017-01-02 01:00,2017-01-02 03:00,0.328,5.050
2017-01-02 02:00,2017-01-02 04:00,0.327,5.042
2017-01-02 03:00,2017-01-02 05:00,0.342,5.124
2017-01-02 04:00,2017-01-02 06:00,0.363,5.222
2017-01-02 05:00,2017-01-02 07:00,0.369,5.251
2017-01-02 06:00,2017-01-02 08:00,0.341,5.118
2017-01-02 07:00,2017-01-02 09:00,0.294,4.881
2017-01-02 08:00,2017-01-02 10:00,0.250,4.644
2017-01-02 09:00,2017-01-02 11:00,0.219,4.475
2017-01-02 10:00,2017-01-02 12:00,0.200,4.360
2017-01-02 11:00,2017-01-02 13:00,0.192,4.305
2017-01-02 12:00,2017-01-02 14:00,0.212,4.432
2017-01-02 13:00,2017-01-02 15:00,0.270,4.764
2017-01-02 14:00,2017-01-02 16:00,0.303,4.933
2017-01-02 15:00,2017-01-02 17:00,0.294,4.886
2017-01-02 16:00,2017-01-02 18:00,0.251,4.649
2017-01-02 17:00,2017-01-02 19:00,0.194,4.318
2017-01-02 18:00,2017-01-02 20:00,0.135,3.898
2017-01-02 19:00,2017-01-02 21:00,0.085,3.473
2017-01-02 20:00,2017-01-02 22:00,0.052,3.116
2017-01-02 21:00,2017-01-02 23:00,0.030,2.781
2017-01-02 22:00,2017-01-03 00:00,0.022,2.641
2017-01-02 23:00,2017-01-03 01:00,0.028,2.758
2017-01-03 00:00,2017-01-03 02:00,0.039,2.942
2017-01-03 01:00,2017-01-03 03:00,0.049,3.076
2017-01-03 02:00,2017-01-03 04:00,0.053,3.136
2017-01-03 03:00,2017-01-03 05:00,0.053,3.135
2017-01-03 04:00,2017-01-03 06:00,0.053,3.130
2017-01-03 05:00,2017-01-03 07:00,0.053,3.130
2017-01-03 06:00,2017-01-03 08:00,0.051,3.103
2017-01-03 07:00,2017-01-03 09:00,0.048,3.065
2017-01-03 08:00,2017-01-03 10:00,0.046,3.042
2017-01-03 09:00,2017-01-03 11:00,0.046,3.041
2017-01-03 10:00,2017-01-03 12:00,0.049,3.083
2017-01-03 11:00,2017-01-03 13:00,0.074,3.365
2017-01-03 12:00,2017-01-03 14:00,0.077,3.400
2017-01-03 13:00,2017-01-03 15:00,0.055,3.154
2017-01-03 14:00,2017-01-03 16:00,0.036,2.891
2017-01-03 15:00,2017-01-03 17:00,0.031,2.807
2017-01-03 16:00,2017-01-03 18:00,0.041,2.957
2017-01-03 17:00,2017-01-03 19:00,0.077,3.401
2017-01-03 18:00,2017-01-03 20:00,0.166,4.121
2017-01-03 19:00,2017-01-03 21:00,0.291,4.868
2017-01-03 20:00,2017-01-03 22:00,0.386,5.322
2017-01-03 21:00,2017-01-03 23:00,0.461,5.645
2017-01-03 22:00,2017-01-04 00:00,0.607,6.192
